latitude,longitude,country_id
23.617257,114.640972,CHN
39.475742,116.655728,CHN
40.984758,113.243644,CHN
30.867163,120.996450,CHN
41.186170,114.701189,CHN
41.188223,114.862388,CHN
44.880958,-0.603042,FRA
39.992850,-82.730099,USA
4.754819,-74.138912,COL
40.182938,-81.874562,USA
33.006914,-96.671864,USA
32.550020,-97.074860,USA
39.328447,-77.472787,USA
41.430838,-82.717139,USA
42.028422,-87.972715,USA
45.551494,-122.947875,USA
33.553629,-112.218786,USA
33.567825,-112.383661,USA
33.661395,-112.119674,USA
20.587142,-100.199197,MEX
20.542476,-100.576609,MEX
-22.800308,-43.349444,BRA
40.635083,-80.414996,USA
40.585933,-111.969739,USA
-23.455036,-46.915106,BRA
-22.896939,-47.185554,BRA
-23.497538,-46.816510,BRA
-33.307233,-70.728400,CHL
-33.530819,-70.712654,CHL
43.254918,-79.870809,CAN
40.447788,-79.999693,USA
-34.565991,-58.455974,ARG
21.334772,-158.087786,USA
45.891191,6.079681,FRA
32.319795,34.877317,ISR
56.950060,24.129188,LVA
38.353133,-81.696218,USA
30.261887,-97.725152,USA
32.750152,-97.325291,USA
29.796525,-95.748790,USA
29.728748,-95.449287,USA
17.038204,54.502098,OMN
43.072483,1.645719,FRA
50.845864,-1.085320,GBR
48.277163,11.897224,DEU
51.410264,-1.304723,GBR
40.218045,-82.847781,USA
39.638044,-83.897164,USA
39.023994,-77.409524,USA
-37.701167,144.598566,AUS
-37.541551,144.943456,AUS
38.742451,-77.186395,USA
-36.813323,174.600407,NZL
59.358401,16.691805,SWE
58.996445,16.235213,SWE
59.649510,16.580798,SWE
26.070561,50.608545,BHR
26.155544,50.474406,BHR
26.050364,50.503764,BHR
12.922398,101.262734,THA
13.014248,101.186213,THA
19.143080,73.010687,IND
38.213856,-77.476423,USA
-6.420300,107.355268,IDN
-6.383766,107.256812,IDN
-6.373650,107.191556,IDN
40.094331,-82.750021,USA
40.049865,-83.175906,USA
40.059060,-83.133824,USA
40.117028,-83.204725,USA
40.220640,-83.324477,USA
40.019303,-83.124526,USA
-33.813691,18.548293,ZAF
38.767058,-77.575425,USA
53.291835,-6.360569,IRL
53.409429,-6.366346,IRL
53.404801,-6.223667,IRL
24.266655,54.461207,ARE
24.702109,54.746020,ARE
24.893054,55.109711,ARE
51.919289,-0.496069,GBR
17.187404,78.504257,IND
17.055052,78.539221,IND
17.222526,78.189958,IND
38.743964,-77.529877,USA
38.768570,-77.543758,USA
38.929020,-77.426082,USA
38.645948,-77.442890,USA
38.440938,-77.877270,USA
36.788876,-76.035298,USA
38.948365,-77.546926,USA
38.889838,-77.460523,USA
